Compound,AirTemp,TrackTemp,Driver,race,LapTimeSeconds
SOFT,27.3,31.2,VER,2023 Bahrain,99.019
SOFT,27.3,31.2,LEC,2023 Bahrain,100.23
SOFT,27.3,31.2,PER,2023 Bahrain,101.063
SOFT,27.3,31.2,SAI,2023 Bahrain,101.659
SOFT,27.3,31.2,HAM,2023 Bahrain,102.288
SOFT,27.3,31.2,RUS,2023 Bahrain,102.662
SOFT,27.3,31.2,ALO,2023 Bahrain,103.608
SOFT,27.3,31.2,BOT,2023 Bahrain,104.154
SOFT,27.3,31.2,STR,2023 Bahrain,104.67
SOFT,27.3,31.2,NOR,2023 Bahrain,105.364
SOFT,27.3,31.2,OCO,2023 Bahrain,105.967
SOFT,27.3,31.2,ALB,2023 Bahrain,106.453
SOFT,27.3,31.2,SAR,2023 Bahrain,106.855
SOFT,27.3,31.2,HUL,2023 Bahrain,107.339
SOFT,27.3,31.2,TSU,2023 Bahrain,107.791
SOFT,27.3,31.2,PIA,2023 Bahrain,108.214
SOFT,27.3,31.2,ZHO,2023 Bahrain,108.467
HARD,27.3,31.2,MAG,2023 Bahrain,109.33
SOFT,27.3,31.2,GAS,2023 Bahrain,109.649
SOFT,27.3,31.2,DEV,2023 Bahrain,109.959
SOFT,27.3,31.1,VER,2023 Bahrain,97.974
SOFT,27.3,31.1,LEC,2023 Bahrain,98.75
SOFT,27.3,31.1,PER,2023 Bahrain,98.862
SOFT,27.3,31.1,SAI,2023 Bahrain,98.933
SOFT,27.3,31.1,HAM,2023 Bahrain,99.166
SOFT,27.3,31.1,RUS,2023 Bahrain,99.59
SOFT,27.3,31.1,ALO,2023 Bahrain,99.792
SOFT,27.3,31.1,BOT,2023 Bahrain,99.956
SOFT,27.3,31.1,STR,2023 Bahrain,99.892
SOFT,27.3,31.1,NOR,2023 Bahrain,100.433
SOFT,27.3,31.1,OCO,2023 Bahrain,100.408
SOFT,27.3,31.1,ALB,2023 Bahrain,100.43
SOFT,27.3,31.1,SAR,2023 Bahrain,100.467
SOFT,27.3,31.1,HUL,2023 Bahrain,100.72
SOFT,27.3,31.1,TSU,2023 Bahrain,100.837
SOFT,27.3,31.1,PIA,2023 Bahrain,100.83
SOFT,27.3,31.1,ZHO,2023 Bahrain,101.091
SOFT,27.3,31.1,GAS,2023 Bahrain,100.438
HARD,27.3,31.1,MAG,2023 Bahrain,101.521
SOFT,27.3,31.1,DEV,2023 Bahrain,101.289
SOFT,27.3,31.2,VER,2023 Bahrain,98.006
SOFT,27.3,31.2,LEC,2023 Bahrain,98.658
SOFT,27.3,31.2,PER,2023 Bahrain,98.83
SOFT,27.3,31.2,SAI,2023 Bahrain,99.042
