LapNumber,TyreLife,Compound,Driver,race,should_pit
1.0,4.0,SOFT,VER,2023 Bahrain,0
1.0,1.0,SOFT,LEC,2023 Bahrain,0
1.0,4.0,SOFT,PER,2023 Bahrain,0
1.0,4.0,SOFT,SAI,2023 Bahrain,0
1.0,4.0,SOFT,HAM,2023 Bahrain,0
1.0,4.0,SOFT,RUS,2023 Bahrain,0
1.0,4.0,SOFT,ALO,2023 Bahrain,0
1.0,1.0,SOFT,BOT,2023 Bahrain,0
1.0,4.0,SOFT,STR,2023 Bahrain,0
1.0,1.0,SOFT,NOR,2023 Bahrain,0
1.0,4.0,SOFT,OCO,2023 Bahrain,0
1.0,1.0,SOFT,ALB,2023 Bahrain,0
1.0,1.0,SOFT,SAR,2023 Bahrain,0
1.0,4.0,SOFT,HUL,2023 Bahrain,0
1.0,1.0,SOFT,TSU,2023 Bahrain,0
1.0,1.0,SOFT,PIA,2023 Bahrain,0
1.0,1.0,SOFT,ZHO,2023 Bahrain,0
1.0,1.0,HARD,MAG,2023 Bahrain,0
1.0,1.0,SOFT,GAS,2023 Bahrain,0
1.0,1.0,SOFT,DEV,2023 Bahrain,0
2.0,5.0,SOFT,VER,2023 Bahrain,0
2.0,2.0,SOFT,LEC,2023 Bahrain,0
2.0,5.0,SOFT,PER,2023 Bahrain,0
2.0,5.0,SOFT,SAI,2023 Bahrain,0
2.0,5.0,SOFT,HAM,2023 Bahrain,0
2.0,5.0,SOFT,RUS,2023 Bahrain,0
2.0,5.0,SOFT,ALO,2023 Bahrain,0
2.0,2.0,SOFT,BOT,2023 Bahrain,0
2.0,5.0,SOFT,STR,2023 Bahrain,0
2.0,2.0,SOFT,NOR,2023 Bahrain,0
2.0,5.0,SOFT,OCO,2023 Bahrain,0
2.0,2.0,SOFT,ALB,2023 Bahrain,0
2.0,2.0,SOFT,SAR,2023 Bahrain,0
2.0,5.0,SOFT,HUL,2023 Bahrain,0
2.0,2.0,SOFT,TSU,2023 Bahrain,0
2.0,2.0,SOFT,PIA,2023 Bahrain,0
2.0,2.0,SOFT,ZHO,2023 Bahrain,0
2.0,2.0,SOFT,GAS,2023 Bahrain,0
2.0,2.0,HARD,MAG,2023 Bahrain,0
2.0,2.0,SOFT,DEV,2023 Bahrain,0
3.0,6.0,SOFT,VER,2023 Bahrain,0
3.0,3.0,SOFT,LEC,2023 Bahrain,0
3.0,6.0,SOFT,PER,2023 Bahrain,0
3.0,6.0,SOFT,SAI,2023 Bahrain,0
3.0,6.0,SOFT,HAM,2023 Bahrain,0
3.0,6.0,SOFT,RUS,2023 Bahrain,0
3.0,6.0,SOFT,ALO,2023 Bahrain,0
3.0,3.0,SOFT,BOT,2023 Bahrain,0
3.0,6.0,SOFT,STR,2023 Bahrain,0
3.0,3.0,SOFT,NOR,2023 Bahrain,0
3.0,6.0,SOFT,OCO,2023 Bahrain,0
3.0,3.0,SOFT,ALB,2023 Bahrain,0
3.0,3.0,SOFT,SAR,2023 Bahrain,0
3.0,6.0,SOFT,HUL,2023 Bahrain,0
3.0,3.0,SOFT,TSU,2023 Bahrain,0
3.0,3.0,SOFT,PIA,2023 Bahrain,0
3.0,3.0,SOFT,ZHO,2023 Bahrain,0
3.0,3.0,SOFT,GAS,2023 Bahrain,0
3.0,3.0,SOFT,DEV,2023 Bahrain,0
3.0,3.0,HARD,MAG,2023 Bahrain,0
4.0,7.0,SOFT,VER,2023 Bahrain,0
4.0,4.0,SOFT,LEC,2023 Bahrain,0
4.0,7.0,SOFT,PER,2023 Bahrain,0
4.0,7.0,SOFT,SAI,2023 Bahrain,0
4.0,7.0,SOFT,HAM,2023 Bahrain,0
4.0,7.0,SOFT,RUS,2023 Bahrain,0
4.0,7.0,SOFT,ALO,2023 Bahrain,0
4.0,4.0,SOFT,BOT,2023 Bahrain,0
4.0,7.0,SOFT,STR,2023 Bahrain,0
4.0,7.0,SOFT,OCO,2023 Bahrain,0
