Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,race,AirTemp,TrackTemp
0 days 01:04:15.902000,VER,1,0 days 00:01:39.019000,1.0,1.0,,,,0 days 00:00:42.414000,0 days 00:00:23.842000,,0 days 01:03:52.119000,0 days 01:04:16.010000,232.0,231.0,278.0,252.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,1.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:17.113000,LEC,16,0 days 00:01:40.230000,1.0,1.0,,,,0 days 00:00:42.549000,0 days 00:00:24.122000,,0 days 01:03:53.104000,0 days 01:04:17.260000,226.0,250.0,281.0,255.0,False,SOFT,1.0,True,Ferrari,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,2.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:17.946000,PER,11,0 days 00:01:41.063000,1.0,1.0,,,,0 days 00:00:43.216000,0 days 00:00:24.069000,,0 days 01:03:53.963000,0 days 01:04:18.056000,230.0,237.0,280.0,252.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,3.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:18.542000,SAI,55,0 days 00:01:41.659000,1.0,1.0,,,,0 days 00:00:43.409000,0 days 00:00:24.190000,,0 days 01:03:54.447000,0 days 01:04:18.681000,225.0,240.0,282.0,235.0,False,SOFT,4.0,False,Ferrari,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,4.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:19.171000,HAM,44,0 days 00:01:42.288000,1.0,1.0,,,,0 days 00:00:43.494000,0 days 00:00:24.338000,,0 days 01:03:54.932000,0 days 01:04:19.291000,234.0,247.0,283.0,266.0,False,SOFT,4.0,False,Mercedes,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,5.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:19.545000,RUS,63,0 days 00:01:42.662000,1.0,1.0,,,,0 days 00:00:43.377000,0 days 00:00:24.168000,,0 days 01:03:55.494000,0 days 01:04:19.666000,231.0,244.0,286.0,259.0,False,SOFT,4.0,False,Mercedes,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,6.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:20.491000,ALO,14,0 days 00:01:43.608000,1.0,1.0,,,,0 days 00:00:43.884000,0 days 00:00:24.561000,,0 days 01:03:56.041000,0 days 01:04:20.619000,222.0,247.0,277.0,255.0,False,SOFT,4.0,False,Aston Martin,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,7.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:21.037000,BOT,77,0 days 00:01:44.154000,1.0,1.0,,,,0 days 00:00:43.757000,0 days 00:00:24.573000,,0 days 01:03:56.572000,0 days 01:04:21.181000,230.0,251.0,278.0,266.0,False,SOFT,1.0,True,Alfa Romeo,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,8.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:21.553000,STR,18,0 days 00:01:44.670000,1.0,1.0,,,,0 days 00:00:44.143000,0 days 00:00:24.609000,,0 days 01:03:57.041000,0 days 01:04:21.666000,223.0,250.0,281.0,261.0,False,SOFT,4.0,False,Aston Martin,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,9.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:22.247000,NOR,4,0 days 00:01:45.364000,1.0,1.0,,,,0 days 00:00:44.789000,0 days 00:00:24.561000,,0 days 01:03:57.775000,0 days 01:04:22.384000,229.0,236.0,279.0,263.0,False,SOFT,1.0,True,McLaren,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,10.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:22.850000,OCO,31,0 days 00:01:45.967000,1.0,1.0,,,,0 days 00:00:45.213000,0 days 00:00:24.698000,,0 days 01:03:58.229000,0 days 01:04:23.025000,233.0,238.0,280.0,254.0,False,SOFT,4.0,False,Alpine,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,11.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:23.336000,ALB,23,0 days 00:01:46.453000,1.0,1.0,,,,0 days 00:00:45.491000,0 days 00:00:24.742000,,0 days 01:03:58.697000,0 days 01:04:23.463000,206.0,245.0,286.0,245.0,False,SOFT,1.0,True,Williams,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,12.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:23.738000,SAR,2,0 days 00:01:46.855000,1.0,1.0,,,,0 days 00:00:45.330000,0 days 00:00:24.706000,,0 days 01:03:59.119000,0 days 01:04:23.775000,224.0,249.0,283.0,269.0,False,SOFT,1.0,True,Williams,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,13.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:24.222000,HUL,27,0 days 00:01:47.339000,1.0,1.0,,,,0 days 00:00:45.924000,0 days 00:00:24.741000,,0 days 01:03:59.557000,0 days 01:04:24.354000,220.0,239.0,282.0,249.0,False,SOFT,4.0,False,Haas F1 Team,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,14.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:24.674000,TSU,22,0 days 00:01:47.791000,1.0,1.0,,,,0 days 00:00:45.884000,0 days 00:00:24.925000,,0 days 01:03:59.838000,0 days 01:04:24.791000,230.0,248.0,282.0,259.0,False,SOFT,1.0,True,AlphaTauri,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,15.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:25.097000,PIA,81,0 days 00:01:48.214000,1.0,1.0,,,,0 days 00:00:45.783000,0 days 00:00:24.952000,,0 days 01:04:00.244000,0 days 01:04:25.134000,231.0,247.0,280.0,250.0,False,SOFT,1.0,True,McLaren,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,16.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:25.350000,ZHO,24,0 days 00:01:48.467000,1.0,1.0,,,,0 days 00:00:45.972000,0 days 00:00:24.736000,,0 days 01:04:00.729000,0 days 01:04:25.384000,223.0,241.0,282.0,246.0,False,SOFT,1.0,True,Alfa Romeo,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,17.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:26.213000,MAG,20,0 days 00:01:49.330000,1.0,1.0,,,,0 days 00:00:46.858000,0 days 00:00:25.043000,,0 days 01:04:01.291000,0 days 01:04:26.322000,235.0,241.0,280.0,243.0,False,HARD,1.0,True,Haas F1 Team,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,18.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:26.532000,GAS,10,0 days 00:01:49.649000,1.0,1.0,,,,0 days 00:00:46.780000,0 days 00:00:25.135000,,0 days 01:04:01.494000,0 days 01:04:26.681000,214.0,234.0,281.0,271.0,False,SOFT,1.0,True,Alpine,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,19.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:04:26.842000,DEV,21,0 days 00:01:49.959000,1.0,1.0,,,,0 days 00:00:46.835000,0 days 00:00:25.179000,,0 days 01:04:01.760000,0 days 01:04:26.994000,217.0,226.0,282.0,253.0,False,SOFT,1.0,True,AlphaTauri,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,20.0,False,,False,False,2023 Bahrain,27.3,31.2
0 days 01:05:53.876000,VER,1,0 days 00:01:37.974000,2.0,1.0,,,0 days 00:00:31.342000,0 days 00:00:42.504000,0 days 00:00:24.128000,0 days 01:04:47.303000,0 days 01:05:29.807000,0 days 01:05:53.935000,227.0,238.0,278.0,288.0,True,SOFT,5.0,False,Red Bull Racing,0 days 01:04:15.902000,2023-03-05 15:05:17.751,12,1.0,False,,False,True,2023 Bahrain,27.3,31.1
0 days 01:05:55.863000,LEC,16,0 days 00:01:38.750000,2.0,1.0,,,0 days 00:00:31.407000,0 days 00:00:43.127000,0 days 00:00:24.216000,0 days 01:04:48.569000,0 days 01:05:31.696000,0 days 01:05:55.912000,,243.0,281.0,294.0,True,SOFT,2.0,True,Ferrari,0 days 01:04:17.113000,2023-03-05 15:05:18.962,21,2.0,False,,False,True,2023 Bahrain,27.3,31.1
0 days 01:05:56.808000,PER,11,0 days 00:01:38.862000,2.0,1.0,,,0 days 00:00:31.532000,0 days 00:00:43.116000,0 days 00:00:24.214000,0 days 01:04:49.503000,0 days 01:05:32.619000,0 days 01:05:56.833000,228.0,238.0,281.0,283.0,True,SOFT,5.0,False,Red Bull Racing,0 days 01:04:17.946000,2023-03-05 15:05:19.795,21,3.0,False,,False,True,2023 Bahrain,27.3,31.1
0 days 01:05:57.475000,SAI,55,0 days 00:01:38.933000,2.0,1.0,,,0 days 00:00:31.451000,0 days 00:00:43.164000,0 days 00:00:24.318000,0 days 01:04:50.059000,0 days 01:05:33.223000,0 days 01:05:57.541000,229.0,242.0,282.0,299.0,True,SOFT,5.0,False,Ferrari,0 days 01:04:18.542000,2023-03-05 15:05:20.391,21,4.0,False,,False,True,2023 Bahrain,27.3,31.1
0 days 01:05:58.337000,HAM,44,0 days 00:01:39.166000,2.0,1.0,,,0 days 00:00:31.408000,0 days 00:00:43.352000,0 days 00:00:24.406000,0 days 01:04:50.619000,0 days 01:05:33.971000,0 days 01:05:58.377000,,247.0,282.0,311.0,True,SOFT,5.0,False,Mercedes,0 days 01:04:19.171000,2023-03-05 15:05:21.020,21,5.0,False,,False,True,2023 Bahrain,27.3,31.1
0 days 01:05:59.135000,RUS,63,0 days 00:01:39.590000,2.0,1.0,,,0 days 00:00:31.709000,0 days 00:00:43.468000,0 days 00:00:24.413000,0 days 01:04:51.268000,0 days 01:05:34.736000,0 days 01:05:59.149000,214.0,239.0,283.0,306.0,True,SOFT,5.0,False,Mercedes,0 days 01:04:19.545000,2023-03-05 15:05:21.394,21,6.0,False,,False,True,2023 Bahrain,27.3,31.1
